temperature,pressure,altitude,numberDensity
0.9450112E+003, 0.1933242E-009, 0.1101938E+04, 0.1481720E+010
0.9439373E+003, 0.1821207E-009, 0.1111781E+04, 0.1397440E+010
0.9427907E+003, 0.1714555E-009, 0.1121725E+04, 0.1317204E+010
0.9415745E+003, 0.1613085E-009, 0.1131770E+04, 0.1240851E+010
0.9402918E+003, 0.1516605E-009, 0.1141917E+04, 0.1168225E+010
0.9389458E+003, 0.1424925E-009, 0.1152169E+04, 0.1099179E+010
0.9375398E+003, 0.1337861E-009, 0.1162525E+04, 0.1033566E+010
0.9360772E+003, 0.1255234E-009, 0.1172987E+04, 0.9712474E+009
0.9345612E+003, 0.1176870E-009, 0.1183556E+04, 0.9120896E+009
0.9329954E+003, 0.1102598E-009, 0.1194233E+04, 0.8559623E+009
0.9313833E+003, 0.1032254E-009, 0.1205019E+04, 0.8027403E+009
0.9297284E+003, 0.9656769E-010, 0.1215915E+04, 0.7523027E+009
0.9280343E+003, 0.9027100E-010, 0.1226922E+04, 0.7045326E+009
0.9263048E+003, 0.8432013E-010, 0.1238042E+04, 0.6593170E+009
0.9245434E+003, 0.7870031E-010, 0.1249276E+04, 0.6165468E+009
0.9227541E+003, 0.7339717E-010, 0.1260624E+04, 0.5761164E+009
0.9209406E+003, 0.6839677E-010, 0.1272088E+04, 0.5379239E+009
0.9191068E+003, 0.6368557E-010, 0.1283670E+04, 0.5018708E+009
0.9172566E+003, 0.5925043E-010, 0.1295370E+04, 0.4678617E+009
0.9153939E+003, 0.5507861E-010, 0.1307189E+04, 0.4358046E+009
0.9135227E+003, 0.5115776E-010, 0.1319129E+04, 0.4056104E+009
0.9116469E+003, 0.4747593E-010, 0.1331191E+04, 0.3771931E+009
0.9097705E+003, 0.4402153E-010, 0.1343376E+04, 0.3504695E+009
0.9078977E+003, 0.4078338E-010, 0.1355686E+04, 0.3253593E+009
0.9060324E+003, 0.3775064E-010, 0.1368122E+04, 0.3017849E+009
0.9041789E+003, 0.3491286E-010, 0.1380684E+04, 0.2796714E+009
0.9023411E+003, 0.3225995E-010, 0.1393376E+04, 0.2589464E+009
0.9005234E+003, 0.2978218E-010, 0.1406196E+04, 0.2395402E+009
0.8987298E+003, 0.2747018E-010, 0.1419148E+04, 0.2213855E+009
0.8969646E+003, 0.2531491E-010, 0.1432232E+04, 0.2044174E+009
0.8952320E+003, 0.2330770E-010, 0.1445450E+04, 0.1885735E+009
0.8935362E+003, 0.2144020E-010, 0.1458802E+04, 0.1737935E+009
0.8918816E+003, 0.1970442E-010, 0.1472292E+04, 0.1600197E+009
0.8902723E+003, 0.1809268E-010, 0.1485919E+04, 0.1471963E+009
0.8887128E+003, 0.1659761E-010, 0.1499685E+04, 0.1352699E+009
0.8872074E+003, 0.1521220E-010, 0.1513592E+04, 0.1241892E+009
0.8857605E+003, 0.1392971E-010, 0.1527641E+04, 0.1139049E+009
0.8843768E+003, 0.1274372E-010, 0.1541833E+04, 0.1043700E+009
0.8830608E+003, 0.1164812E-010, 0.1556171E+04, 0.9553930E+008
0.8818171E+003, 0.1063707E-010, 0.1570655E+04, 0.8736961E+008
0.8806505E+003, 0.9705034E-011, 0.1585287E+04, 0.7981974E+008
0.8795657E+003, 0.8846740E-011, 0.1600069E+04, 0.7285038E+008
0.8785676E+003, 0.8057192E-011, 0.1615001E+04, 0.6642406E+008
0.8776610E+003, 0.7331655E-011, 0.1630087E+04, 0.6050511E+008
0.8768509E+003, 0.6665648E-011, 0.1645326E+04, 0.5505966E+008
0.8761422E+003, 0.6054936E-011, 0.1660721E+04, 0.5005551E+008
0.8755398E+003, 0.5495523E-011, 0.1676273E+04, 0.4546215E+008
0.8750489E+003, 0.4983643E-011, 0.1691985E+04, 0.4125072E+008
0.8746744E+003, 0.4515753E-011, 0.1707856E+04, 0.3739389E+008
0.8743511E+003, 0.4087878E-011, 0.1723890E+04, 0.3386327E+008
0.8741988E+003, 0.3694804E-011, 0.1740088E+04, 0.3061245E+008
0.8741988E+003, 0.3692963E-011, 0.1756451E+04, 0.3059720E+008
0.8741988E+003, 0.3334466E-011, 0.1772982E+04, 0.2762695E+008
